title,location,buyer_details,specifications,source_url
SS Chapati Bhatti,1 hr ago,{'member_since': '2+ years'},"{'Quantity': '02 Piece', 'Material': 'Stainless Steel', 'No Of Burners': '3', 'Probable Order Value🛈': 'Rs. 31,000 - 48,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Manual Surface Grinding Machine,2 hrs ago,{'member_since': '1+ years'},"{'Grinding Area': '500 x 200 mm', 'Application': 'Cutting Tools Industry', 'Longitudinal Table Travel (mm)': '50cm', 'Type Of Grinding Machine': 'Surface', 'Buyer Filled Details': '500 × 200', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Ethanol Production Plant,3 hrs ago,{'member_since': '10 months'},"{'Quantity': '1 Piece', 'Capacity(Ton/Day)': '2 Ton/Day', 'Automatic Grade': 'Automatic', 'Probable Order Value🛈': 'Rs. 88,12,000 - 89,00,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Oil Extractor Repair Near Me In Hyderabad,4 hrs ago,{'member_since': '3 months'},"{'Capacity': '12 ton/day', 'Production Capacity': '5 ton/day', 'Buyer Filled Details': '2 ton/day', 'Additional Requirements': 'Edible Oil Extraction Machinery, Cold Press Oil Machine', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Stainless Steel Conical Percolator,22 hrs ago,{'member_since': '10+ years'},"{'Quantity': '5 Piece', 'Material': 'Stainless Steel', 'Additional Requirements': '5 Unit(s) of Conical Percolator', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=1
Hydraulic Hose Pipe Crimping Machine,3 mins ago,{'member_since': '6+ years'},"{'Automatic Grade': 'Automatic', 'Machine Structure': 'Horizontal', 'Additional Requirements': 'Pollution Check Equipment', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Printer Head,5 mins ago,{'member_since': '3+ years'},"{'Quantity': '10 piece', 'Print Head Type': 'Large Format', 'Probable Order Value🛈': 'Rs. 50,000 - 68,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
LG Ma88 Refrigerator Compressor,7 mins ago,{'member_since': '8+ years'},"{'Quantity': '1 Piece', 'Model No': 'Ma 88 lg', 'Probable Order Value🛈': 'Rs. 4,400 - 5,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Stainless Steel Tube Expander,11 mins ago,{'member_since': '3+ years'},"{'Quantity': '2 piece', 'Material': 'Stainless Steel', 'Material Grade': 'Ss303', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Aluminium Tilting Rotary Furnaces,22 mins ago,{'member_since': '10+ years'},"{'Quantity': '1 Piece', 'Melting Material': 'Aluminium', 'Power Source': 'Gas', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Paper Roll Pallet Truck,45 mins ago,{'member_since': '6+ years'},"{'Quantity': '1 Piece', 'Capacity(kg)': '1000 Kg', 'Probable Order Value🛈': 'Rs. 22,000 - 40,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Table Press Electric Steam Boiler Full Set Semi Automatic,59 mins ago,{'member_since': '5+ years'},"{'Boiler Capacity': 'More than 1000 kg/hr', 'Power': '12 kW', 'Certification': 'IBR Approved', 'Buyer Filled Details': '50 kg/hr', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Sany Sr155 Piling Rig,1 hr ago,{'member_since': '15+ years'},"{'Maximum Piling Depth': 'upto 20 m', 'Maximum Piling Diameter': '1000 mm', 'Condition': 'Rental', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Hydrotron - Softens Hard Water,1 hr ago,{'member_since': '1 month'},"{'Quantity': '2 Piece', 'Material': 'Stainless Steel', 'Type of Requirement': 'Sample Only', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Heat Transfer Composite Wall,1 hr ago,{'member_since': '12+ years'},"{'Quantity': '1 Piece', 'Application': 'Lab', 'Probable Order Value🛈': 'Rs. 20,000 to 50,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
SS Chapati Bhatti,1 hr ago,{'member_since': '2+ years'},"{'Quantity': '02 Piece', 'Material': 'Stainless Steel', 'No Of Burners': '3', 'Probable Order Value🛈': 'Rs. 31,000 - 48,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Manual Surface Grinding Machine,2 hrs ago,{'member_since': '1+ years'},"{'Grinding Area': '500 x 200 mm', 'Application': 'Cutting Tools Industry', 'Longitudinal Table Travel (mm)': '50cm', 'Type Of Grinding Machine': 'Surface', 'Buyer Filled Details': '500 × 200', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Ethanol Production Plant,3 hrs ago,{'member_since': '10 months'},"{'Quantity': '1 Piece', 'Capacity(Ton/Day)': '2 Ton/Day', 'Automatic Grade': 'Automatic', 'Probable Order Value🛈': 'Rs. 88,12,000 - 89,00,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Oil Extractor Repair Near Me In Hyderabad,4 hrs ago,{'member_since': '3 months'},"{'Capacity': '12 ton/day', 'Production Capacity': '5 ton/day', 'Buyer Filled Details': '2 ton/day', 'Additional Requirements': 'Edible Oil Extraction Machinery, Cold Press Oil Machine', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Stainless Steel Conical Percolator,22 hrs ago,{'member_since': '10+ years'},"{'Quantity': '5 Piece', 'Material': 'Stainless Steel', 'Additional Requirements': '5 Unit(s) of Conical Percolator', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=2
Hydraulic Hose Pipe Crimping Machine,3 mins ago,{'member_since': '6+ years'},"{'Automatic Grade': 'Automatic', 'Machine Structure': 'Horizontal', 'Additional Requirements': 'Pollution Check Equipment', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Printer Head,5 mins ago,{'member_since': '3+ years'},"{'Quantity': '10 piece', 'Print Head Type': 'Large Format', 'Probable Order Value🛈': 'Rs. 50,000 - 68,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
LG Ma88 Refrigerator Compressor,7 mins ago,{'member_since': '8+ years'},"{'Quantity': '1 Piece', 'Model No': 'Ma 88 lg', 'Probable Order Value🛈': 'Rs. 4,400 - 5,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Stainless Steel Tube Expander,11 mins ago,{'member_since': '3+ years'},"{'Quantity': '2 piece', 'Material': 'Stainless Steel', 'Material Grade': 'Ss303', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Aluminium Tilting Rotary Furnaces,22 mins ago,{'member_since': '10+ years'},"{'Quantity': '1 Piece', 'Melting Material': 'Aluminium', 'Power Source': 'Gas', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Paper Roll Pallet Truck,45 mins ago,{'member_since': '6+ years'},"{'Quantity': '1 Piece', 'Capacity(kg)': '1000 Kg', 'Probable Order Value🛈': 'Rs. 22,000 - 40,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Table Press Electric Steam Boiler Full Set Semi Automatic,59 mins ago,{'member_since': '5+ years'},"{'Boiler Capacity': 'More than 1000 kg/hr', 'Power': '12 kW', 'Certification': 'IBR Approved', 'Buyer Filled Details': '50 kg/hr', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Sany Sr155 Piling Rig,1 hr ago,{'member_since': '15+ years'},"{'Maximum Piling Depth': 'upto 20 m', 'Maximum Piling Diameter': '1000 mm', 'Condition': 'Rental', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Hydrotron - Softens Hard Water,1 hr ago,{'member_since': '1 month'},"{'Quantity': '2 Piece', 'Material': 'Stainless Steel', 'Type of Requirement': 'Sample Only', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Heat Transfer Composite Wall,1 hr ago,{'member_since': '12+ years'},"{'Quantity': '1 Piece', 'Application': 'Lab', 'Probable Order Value🛈': 'Rs. 20,000 to 50,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
SS Chapati Bhatti,1 hr ago,{'member_since': '2+ years'},"{'Quantity': '02 Piece', 'Material': 'Stainless Steel', 'No Of Burners': '3', 'Probable Order Value🛈': 'Rs. 31,000 - 48,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Manual Surface Grinding Machine,2 hrs ago,{'member_since': '1+ years'},"{'Grinding Area': '500 x 200 mm', 'Application': 'Cutting Tools Industry', 'Longitudinal Table Travel (mm)': '50cm', 'Type Of Grinding Machine': 'Surface', 'Buyer Filled Details': '500 × 200', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Ethanol Production Plant,3 hrs ago,{'member_since': '10 months'},"{'Quantity': '1 Piece', 'Capacity(Ton/Day)': '2 Ton/Day', 'Automatic Grade': 'Automatic', 'Probable Order Value🛈': 'Rs. 88,12,000 - 89,00,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Oil Extractor Repair Near Me In Hyderabad,4 hrs ago,{'member_since': '3 months'},"{'Capacity': '12 ton/day', 'Production Capacity': '5 ton/day', 'Buyer Filled Details': '2 ton/day', 'Additional Requirements': 'Edible Oil Extraction Machinery, Cold Press Oil Machine', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Stainless Steel Conical Percolator,22 hrs ago,{'member_since': '10+ years'},"{'Quantity': '5 Piece', 'Material': 'Stainless Steel', 'Additional Requirements': '5 Unit(s) of Conical Percolator', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=3
Hydraulic Hose Pipe Crimping Machine,3 mins ago,{'member_since': '6+ years'},"{'Automatic Grade': 'Automatic', 'Machine Structure': 'Horizontal', 'Additional Requirements': 'Pollution Check Equipment', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Printer Head,5 mins ago,{'member_since': '3+ years'},"{'Quantity': '10 piece', 'Print Head Type': 'Large Format', 'Probable Order Value🛈': 'Rs. 50,000 - 68,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
LG Ma88 Refrigerator Compressor,7 mins ago,{'member_since': '8+ years'},"{'Quantity': '1 Piece', 'Model No': 'Ma 88 lg', 'Probable Order Value🛈': 'Rs. 4,400 - 5,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Stainless Steel Tube Expander,11 mins ago,{'member_since': '3+ years'},"{'Quantity': '2 piece', 'Material': 'Stainless Steel', 'Material Grade': 'Ss303', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Aluminium Tilting Rotary Furnaces,22 mins ago,{'member_since': '10+ years'},"{'Quantity': '1 Piece', 'Melting Material': 'Aluminium', 'Power Source': 'Gas', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Paper Roll Pallet Truck,45 mins ago,{'member_since': '6+ years'},"{'Quantity': '1 Piece', 'Capacity(kg)': '1000 Kg', 'Probable Order Value🛈': 'Rs. 22,000 - 40,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Table Press Electric Steam Boiler Full Set Semi Automatic,59 mins ago,{'member_since': '5+ years'},"{'Boiler Capacity': 'More than 1000 kg/hr', 'Power': '12 kW', 'Certification': 'IBR Approved', 'Buyer Filled Details': '50 kg/hr', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Sany Sr155 Piling Rig,1 hr ago,{'member_since': '15+ years'},"{'Maximum Piling Depth': 'upto 20 m', 'Maximum Piling Diameter': '1000 mm', 'Condition': 'Rental', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Hydrotron - Softens Hard Water,1 hr ago,{'member_since': '1 month'},"{'Quantity': '2 Piece', 'Material': 'Stainless Steel', 'Type of Requirement': 'Sample Only', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Heat Transfer Composite Wall,1 hr ago,{'member_since': '12+ years'},"{'Quantity': '1 Piece', 'Application': 'Lab', 'Probable Order Value🛈': 'Rs. 20,000 to 50,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
SS Chapati Bhatti,1 hr ago,{'member_since': '2+ years'},"{'Quantity': '02 Piece', 'Material': 'Stainless Steel', 'No Of Burners': '3', 'Probable Order Value🛈': 'Rs. 31,000 - 48,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Manual Surface Grinding Machine,2 hrs ago,{'member_since': '1+ years'},"{'Grinding Area': '500 x 200 mm', 'Application': 'Cutting Tools Industry', 'Longitudinal Table Travel (mm)': '50cm', 'Type Of Grinding Machine': 'Surface', 'Buyer Filled Details': '500 × 200', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Ethanol Production Plant,3 hrs ago,{'member_since': '10 months'},"{'Quantity': '1 Piece', 'Capacity(Ton/Day)': '2 Ton/Day', 'Automatic Grade': 'Automatic', 'Probable Order Value🛈': 'Rs. 88,12,000 - 89,00,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Oil Extractor Repair Near Me In Hyderabad,4 hrs ago,{'member_since': '3 months'},"{'Capacity': '12 ton/day', 'Production Capacity': '5 ton/day', 'Buyer Filled Details': '2 ton/day', 'Additional Requirements': 'Edible Oil Extraction Machinery, Cold Press Oil Machine', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Stainless Steel Conical Percolator,22 hrs ago,{'member_since': '10+ years'},"{'Quantity': '5 Piece', 'Material': 'Stainless Steel', 'Additional Requirements': '5 Unit(s) of Conical Percolator', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=4
Hydraulic Hose Pipe Crimping Machine,3 mins ago,{'member_since': '6+ years'},"{'Automatic Grade': 'Automatic', 'Machine Structure': 'Horizontal', 'Additional Requirements': 'Pollution Check Equipment', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Printer Head,5 mins ago,{'member_since': '3+ years'},"{'Quantity': '10 piece', 'Print Head Type': 'Large Format', 'Probable Order Value🛈': 'Rs. 50,000 - 68,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
LG Ma88 Refrigerator Compressor,7 mins ago,{'member_since': '8+ years'},"{'Quantity': '1 Piece', 'Model No': 'Ma 88 lg', 'Probable Order Value🛈': 'Rs. 4,400 - 5,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Stainless Steel Tube Expander,11 mins ago,{'member_since': '3+ years'},"{'Quantity': '2 piece', 'Material': 'Stainless Steel', 'Material Grade': 'Ss303', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Aluminium Tilting Rotary Furnaces,22 mins ago,{'member_since': '10+ years'},"{'Quantity': '1 Piece', 'Melting Material': 'Aluminium', 'Power Source': 'Gas', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Paper Roll Pallet Truck,45 mins ago,{'member_since': '6+ years'},"{'Quantity': '1 Piece', 'Capacity(kg)': '1000 Kg', 'Probable Order Value🛈': 'Rs. 22,000 - 40,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Table Press Electric Steam Boiler Full Set Semi Automatic,59 mins ago,{'member_since': '5+ years'},"{'Boiler Capacity': 'More than 1000 kg/hr', 'Power': '12 kW', 'Certification': 'IBR Approved', 'Buyer Filled Details': '50 kg/hr', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Sany Sr155 Piling Rig,1 hr ago,{'member_since': '15+ years'},"{'Maximum Piling Depth': 'upto 20 m', 'Maximum Piling Diameter': '1000 mm', 'Condition': 'Rental', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Hydrotron - Softens Hard Water,1 hr ago,{'member_since': '1 month'},"{'Quantity': '2 Piece', 'Material': 'Stainless Steel', 'Type of Requirement': 'Sample Only', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Heat Transfer Composite Wall,1 hr ago,{'member_since': '12+ years'},"{'Quantity': '1 Piece', 'Application': 'Lab', 'Probable Order Value🛈': 'Rs. 20,000 to 50,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
SS Chapati Bhatti,1 hr ago,{'member_since': '2+ years'},"{'Quantity': '02 Piece', 'Material': 'Stainless Steel', 'No Of Burners': '3', 'Probable Order Value🛈': 'Rs. 31,000 - 48,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Manual Surface Grinding Machine,2 hrs ago,{'member_since': '1+ years'},"{'Grinding Area': '500 x 200 mm', 'Application': 'Cutting Tools Industry', 'Longitudinal Table Travel (mm)': '50cm', 'Type Of Grinding Machine': 'Surface', 'Buyer Filled Details': '500 × 200', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Ethanol Production Plant,3 hrs ago,{'member_since': '10 months'},"{'Quantity': '1 Piece', 'Capacity(Ton/Day)': '2 Ton/Day', 'Automatic Grade': 'Automatic', 'Probable Order Value🛈': 'Rs. 88,12,000 - 89,00,000', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Oil Extractor Repair Near Me In Hyderabad,4 hrs ago,{'member_since': '3 months'},"{'Capacity': '12 ton/day', 'Production Capacity': '5 ton/day', 'Buyer Filled Details': '2 ton/day', 'Additional Requirements': 'Edible Oil Extraction Machinery, Cold Press Oil Machine', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
Stainless Steel Conical Percolator,22 hrs ago,{'member_since': '10+ years'},"{'Quantity': '5 Piece', 'Material': 'Stainless Steel', 'Additional Requirements': '5 Unit(s) of Conical Percolator', 'Probable Requirement Type': 'Business Use'}",https://trade.indiamart.com/offer/plant-machinery/?page=5
